Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2023-24","Spring","ALCE","6416","Intro to Grad Teach Scholar","Westfall-Rudd","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","10317","  2"
"2023-24","Spring","MSE","3314","Materials Laboratory I","Burgoyne","3.16","0","25","41.7","8.3","8.3","16.7","0","0","0","0","0","0","0","12","18199","  1"
"2023-24","Spring","MSE","3314","Materials Laboratory I","Staley","3.16","0","25","41.7","8.3","8.3","16.7","0","0","0","0","0","0","0","12","18199","  1"
"2023-24","Spring","MUS","2046","Sightsinging Laboratory","Elmer","3.62","75","0","0","0","16.7","0","8.3","0","0","0","0","0","0","12","18306","  1"
"2023-24","Spring","CHEM","4994","Undergraduate Research","Morris","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12985","  2"
"2023-24","Spring","CHEM","4994","Undergraduate Research","Worch","3.77","66.7","0","33.3","0","0","0","0","0","0","0","0","0","0","6","12992","  2"
"2023-24","Spring","HD","4994","Undergraduate Research","Hornburg","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","16313","  1"
"2023-24","Spring","MUS","4614","Adv Ind App Saxophone","Hutchins","3.67","42.9","28.6","14.3","14.3","0","0","0","0","0","0","0","0","0","7","18397","  1"
"2023-24","Spring","MUS","3036","Advanced Class Piano","Masters","3.64","38.5","23.1","30.8","7.7","0","0","0","0","0","0","0","0","0","13","18347","  1"
"2023-24","Spring","MUS","2214","Class Applied Piano","Baldwin","3.82","84.6","0","0","7.7","7.7","0","0","0","0","0","0","0","0","13","18312","  1"
"2023-24","Spring","ECE","3274","Elctrnc Circuits Lab II","Baumann","2.95","15.4","7.7","7.7","30.8","15.4","7.7","7.7","7.7","0","0","0","0","0","13","13776","  1"
"2023-24","Spring","AOE","4106","Experiments for AE Design","Coutier-Delgosha","4","100","0","0","0","0","0","0","0","0","0","0","0","0","13","10452","  1"
"2023-24","Spring","CHEM","1046","General Chemistry Laboratory","Tohidi","3.28","69.2","0","0","7.7","0","0","7.7","7.7","0","0","0","7.7","0","13","12842","  1"
"2023-24","Spring","ECON","2974","Independent Study","Wooten","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","14571","  1"
"2023-24","Spring","MUS","2684","Individual Applied Percussion","Clark","3.75","40","40","10","10","0","0","0","0","0","0","0","0","1","10","18336","  1"
"2023-24","Spring","MUS","2544","Individual Applied Viola","Wilkens-Reed","3.88","77.8","11.1","0","0","11.1","0","0","0","0","0","0","0","0","9","18323","  1"
"2023-24","Spring","MUS","3314","Instrumental Ensemble Music","Bean","4","100","0","0","0","0","0","0","0","0","0","0","0","0","13","18374","  1"
"2023-24","Spring","ISC","2116","Integrated Science Lab II","Williams","3.92","84.6","7.7","7.7","0","0","0","0","0","0","0","0","0","0","13","16713","  1"
"2023-24","Spring","GEOS","1104","Intro to Earth Sciences Lab","Chermak","3.71","69.2","0","23.1","0","0","7.7","0","0","0","0","0","0","0","13","16085","  1"
"2023-24","Spring","ITAL","1204","Italian Language and Cultures","Dodi","3.95","84.6","15.4","0","0","0","0","0","0","0","0","0","0","0","13","16930","  1"
"2023-24","Spring","MSE","2114","Math Programming MSE I","Corcoran","3.18","53.8","15.4","7.7","0","7.7","0","0","0","0","0","0","15.4","0","13","18188","  1"
"2023-24","Spring","MSE","3064","Mech Behavior Matls Lab","Aidi","3.95","92.3","0","7.7","0","0","0","0","0","0","0","0","0","0","13","18192","  1"
"2023-24","Spring","MSE","3064","Mech Behavior Matls Lab","McCord","3.95","92.3","0","7.7","0","0","0","0","0","0","0","0","0","0","13","18192","  1"
"2023-24","Spring","CHEM","2546","Organic Chemistry Laboratory","Santos","3.38","30.8","23.1","15.4","7.7","7.7","15.4","0","0","0","0","0","0","0","13","12885","  1"
"2023-24","Spring","CHEM","3625","Physical Chemistry Laboratory","Orler","3.92","92.3","0","0","7.7","0","0","0","0","0","0","0","0","0","13","12941","  1"
"2023-24","Spring","CHEM","3625","Physical Chemistry Laboratory","Orler","3.38","38.5","0","0","61.5","0","0","0","0","0","0","0","0","0","13","12942","  1"
"2023-24","Spring","NR","5984","SS: Environmental Justice","Kamran","4","100","0","0","0","0","0","0","0","0","0","0","0","0","13","21561","  1"
